arm,policy,execution,current,N,terminal_success_n,terminal_success_rate,Tail80_n,Tail80_rate,ever_lock_n,ever_lock_rate,first_TRACK_observed_n,first_TRACK_median_s,first_TRACK_p95_s,terminal_e_p_median_m,terminal_e_p_p95_m,terminal_e_p_max_m,terminal_e_f_median_m,terminal_e_f_p95_m,terminal_e_f_max_m,tail50_mean_e_p_median_m,tail50_mean_e_p_p95_m,tail50_mean_e_f_median_m,tail50_mean_e_f_p95_m,truth_invalid_TRACK_starts_n,truth_invalid_TRACK_ends_n,decision_runtime_median_s,decision_runtime_p95_s,decision_runtime_max_s,deadline_miss_episodes_n,requested_to_delayed_normalized_RMS,first_order_response_applicable
fixed_s_turn__kinematic__no_current,fixed_s_turn,kinematic,no_current,100,37,0.37,28,0.28,70,0.7,70,243.99999999999042,397.0000000000216,0.738965755740318,3.7434135057310907,8.161249555831564,66.47190219462449,353.9463664933047,467.2766155558239,0.8444513371986009,4.217329350441234,142.29469863878444,352.4766376698711,20,19,1.1920582499951706,1.5857253482467057,2.5045958750051796,1,0.0,False
fixed_s_turn__kinematic__bottom_track_visible,fixed_s_turn,kinematic,bottom_track_visible,100,37,0.37,28,0.28,70,0.7,70,243.99999999999042,397.0000000000216,0.727697173899851,3.8351467421474545,8.365466086380493,66.08494350854684,351.3148666360202,466.4697129385613,0.8545141179003035,4.250249655247827,142.41483279534813,350.9703030799538,18,17,1.1778901250036142,1.618856631253584,2.526122499999474,1,0.0,False
fixed_s_turn__low_order_dynamic__no_current,fixed_s_turn,low_order_dynamic,no_current,100,18,0.18,1,0.01,81,0.81,81,243.99999999999042,424.0000000000279,0.5490993107444304,3.5529907774988465,6.899344738864367,11.973269653083163,330.10618628095773,396.81324714585446,0.6222794432627874,3.1182741960803697,50.57198960292435,326.4868675390444,0,0,1.1694743539992487,1.501061125297201,2.528711916995235,1,0.45236861520099436,True
fixed_s_turn__low_order_dynamic__bottom_track_visible,fixed_s_turn,low_order_dynamic,bottom_track_visible,100,18,0.18,2,0.02,82,0.82,82,183.99999999999383,424.0000000000279,0.5774144634731678,3.790821035159575,8.29973705731786,12.515199998829093,322.1084089774932,387.04400260008686,0.6618933338877302,2.6341128028660385,40.48599489639197,330.69308139547223,0,0,1.1770932289982738,1.5544974020445805,2.688572375001968,2,0.461376151569645,True
belief_active__kinematic__no_current,belief_active,kinematic,no_current,100,98,0.98,97,0.97,99,0.99,99,93.99999999999893,123.99999999999723,0.5777459891870589,1.3345758478671397,3.112985436722783,0.5713754927360284,1.6154806467381844,1239.4289548827599,0.5695704464984248,1.4076884837001644,0.6190021062033939,1.7166672555133975,0,0,1.2359050000013667,1.6091810410467589,2.8301569999966887,2,0.0,False
belief_active__kinematic__bottom_track_visible,belief_active,kinematic,bottom_track_visible,100,99,0.99,98,0.98,99,0.99,99,93.99999999999893,123.99999999999723,0.5440199519970622,1.467649732662762,2.749266062564345,0.5601926250383904,1.6510334180749382,1435.0139408613406,0.5470979130709858,1.4241496475153437,0.6019074740435224,1.9308973702481231,0,0,1.2154223545003333,1.703295520847314,2.5009474990001763,1,0.0,False
belief_active__low_order_dynamic__no_current,belief_active,low_order_dynamic,no_current,100,36,0.36,2,0.02,99,0.99,99,93.99999999999893,123.99999999999723,0.40511839681974454,1.0073793658674108,1.4263727730013094,9.485164989042946,13.085177726858571,2119.6595144544644,0.4246780531640589,1.0827902367546798,9.245935339220118,32.02129876549663,0,0,1.1875360004960385,1.4759459309472729,2.497567792001064,1,0.4752668541572079,True
belief_active__low_order_dynamic__bottom_track_visible,belief_active,low_order_dynamic,bottom_track_visible,100,34,0.34,3,0.03,100,1.0,100,93.99999999999893,183.99999999999383,0.4382244072095488,0.9057192635960267,1.6249685756250438,9.221469718774848,17.70311358518405,257.670065701063,0.44780212215728743,0.8873478598597399,9.68502692796978,48.270446669514406,0,0,1.1979074794980988,1.5377607833488582,1.6960443330026465,0,0.48048227758064543,True
