episode_index,episode_seed,arm,controller,current,terminal_joint_success,tail80_joint_success,dwell15_joint_success,tail50_joint_occupancy,terminal_localization_error_m,terminal_formation_error_m,ever_locked,first_track_time_s,unsafe_transition_count,unsafe_track_start_count,unsafe_track_end_count,audit_release_violation_count,mean_squared_action,maximum_combined_decision_runtime_s,requested_delivered_action_rms,action_count,noise_tape_sha256,current_tape_sha256,post_track_action_count,post_track_saturation_fraction,post_track_speed_saturation_fraction,post_track_yaw_saturation_fraction,post_track_pitch_saturation_fraction,post_track_action_total_variation,post_track_action_curvature_rms
2,51002,belief_active__low_order_dynamic__baseline_pid__bottom_track_visible,baseline_pid,bottom_track_visible,True,False,False,0.56,0.24444051096957795,7.914396520576979,True,93.99999999999893,0,0,0,0,2.1197999169355985,0.5822244589944603,0.459016846150217,220,d138f04b4a10fb1dc490cd25121c4424792faee7dff30ade35901f2f211324d5,9d644b9ca998b9509690325fabf72d807a660bbe3cea841d45293945fe2f81d2,173,0.953757225433526,0.6878612716763006,0.6358381502890174,0.7052023121387283,0.7015985798994363,0.7437797349070205
2,51002,belief_active__low_order_dynamic__delay_aware__bottom_track_visible,delay_aware,bottom_track_visible,True,True,True,1.0,0.3395453407565155,0.27250320199247763,True,93.99999999999893,0,0,0,0,0.35365048524732423,0.6080887080024695,0.17043385925053078,220,d138f04b4a10fb1dc490cd25121c4424792faee7dff30ade35901f2f211324d5,9d644b9ca998b9509690325fabf72d807a660bbe3cea841d45293945fe2f81d2,173,0.017341040462427744,0.017341040462427744,0.0,0.0,0.14037879920657678,0.2318518704367742
3,51003,belief_active__low_order_dynamic__baseline_pid__no_current,baseline_pid,no_current,False,False,False,0.0,1.6317964088106323,371.4332693237014,True,183.99999999999383,0,0,0,0,1.6614672276181455,0.6020885830075713,0.4392474885635844,220,175d421b57e0094716ccb4e9feb34560c1ef6c0e93369aec1068eee49658391f,5518fa4ed9c593625f375943a45268c47688ffc6c64bb74a8fd2e79efa245a89,128,0.8828125,0.5078125,0.6484375,0.609375,0.7229174694994353,0.7124633777953874
3,51003,belief_active__low_order_dynamic__delay_aware__no_current,delay_aware,no_current,False,False,False,0.0,1.2663743963296432,207.89966474008088,True,183.99999999999383,0,0,0,0,0.4854220319714308,0.61256462498568,0.23498277187961522,220,175d421b57e0094716ccb4e9feb34560c1ef6c0e93369aec1068eee49658391f,5518fa4ed9c593625f375943a45268c47688ffc6c64bb74a8fd2e79efa245a89,128,0.078125,0.0625,0.03125,0.0078125,0.10718180941968765,0.15016725132131942
3,51003,belief_active__low_order_dynamic__baseline_pid__bottom_track_visible,baseline_pid,bottom_track_visible,False,False,False,0.0,1.186415950920576,918.0338597777492,True,304.0000000000006,0,0,0,0,1.0795962538603208,0.9337232909892919,0.3657999925765463,220,175d421b57e0094716ccb4e9feb34560c1ef6c0e93369aec1068eee49658391f,5518fa4ed9c593625f375943a45268c47688ffc6c64bb74a8fd2e79efa245a89,68,0.8970588235294118,0.4264705882352941,0.6176470588235294,0.6176470588235294,0.7803210261886072,0.7474819063205419
3,51003,belief_active__low_order_dynamic__delay_aware__bottom_track_visible,delay_aware,bottom_track_visible,False,False,False,0.0,1.2784131879238048,964.6526668355685,True,304.0000000000006,0,0,0,0,0.5013690217561121,0.9497415829973761,0.23727729537469575,220,175d421b57e0094716ccb4e9feb34560c1ef6c0e93369aec1068eee49658391f,5518fa4ed9c593625f375943a45268c47688ffc6c64bb74a8fd2e79efa245a89,68,0.10294117647058823,0.07352941176470588,0.0,0.029411764705882353,0.13914559963522724,0.1570058736367184
4,51004,belief_active__low_order_dynamic__baseline_pid__no_current,baseline_pid,no_current,True,False,False,0.14,0.4348590499311633,2.8727977304877608,True,93.99999999999893,0,0,0,0,2.287611360288453,0.5917875000013737,0.5047089155608769,220,97c1d7cd866b9d2e4c2ecb5d7fa33520e2f8b414a6fb0abede5191ae15394a4d,b5b63aea1b15019d6c30fd620bd692fd24b196c4fab44936e93d0ea490c8d1a7,173,0.9710982658959537,0.7514450867052023,0.6358381502890174,0.6994219653179191,0.7163822356700564,0.759658288599049
4,51004,belief_active__low_order_dynamic__delay_aware__no_current,delay_aware,no_current,True,True,True,1.0,0.38922622230097936,0.36159369401411595,True,93.99999999999893,0,0,0,0,0.49137122321258603,0.6061066249967553,0.2524331444061219,220,97c1d7cd866b9d2e4c2ecb5d7fa33520e2f8b414a6fb0abede5191ae15394a4d,b5b63aea1b15019d6c30fd620bd692fd24b196c4fab44936e93d0ea490c8d1a7,173,0.03468208092485549,0.023121387283236993,0.0,0.011560693641618497,0.13957955007250575,0.223445399614295
4,51004,belief_active__low_order_dynamic__baseline_pid__bottom_track_visible,baseline_pid,bottom_track_visible,False,False,False,0.32,0.48291141268151677,9.070084906310422,True,93.99999999999893,0,0,0,0,2.1734724710958666,0.5929552500019781,0.5029393905112921,220,97c1d7cd866b9d2e4c2ecb5d7fa33520e2f8b414a6fb0abede5191ae15394a4d,b5b63aea1b15019d6c30fd620bd692fd24b196c4fab44936e93d0ea490c8d1a7,173,0.953757225433526,0.7456647398843931,0.5895953757225434,0.6358381502890174,0.6989970138401851,0.7217358068036759
4,51004,belief_active__low_order_dynamic__delay_aware__bottom_track_visible,delay_aware,bottom_track_visible,True,True,True,1.0,0.6943890643354622,0.802338299237435,True,93.99999999999893,0,0,0,0,0.4284381103378315,0.5907917500007898,0.2716544263970961,220,97c1d7cd866b9d2e4c2ecb5d7fa33520e2f8b414a6fb0abede5191ae15394a4d,b5b63aea1b15019d6c30fd620bd692fd24b196c4fab44936e93d0ea490c8d1a7,173,0.04046242774566474,0.03468208092485549,0.0,0.005780346820809248,0.13589493199472227,0.23666157030268561
5,51005,belief_active__low_order_dynamic__baseline_pid__no_current,baseline_pid,no_current,False,False,False,0.4,0.9454879018759496,8.986738527489967,True,93.99999999999893,0,0,0,0,2.2757614482611532,0.6319213749957271,0.5045168974129158,220,61088caafe0a89c7ba763a544730988b6b0d5fcc398583fdd2d137f615cab5a6,1eb5baa6f506ddba82c213f6fcaf9835399de3cb036e5acf0d70c86f90981d27,173,0.9595375722543352,0.7572254335260116,0.5953757225433526,0.6416184971098265,0.7327523684748273,0.7549558614971801
5,51005,belief_active__low_order_dynamic__delay_aware__no_current,delay_aware,no_current,True,True,True,1.0,1.0061984965337802,1.047304100316943,True,93.99999999999893,0,0,0,0,0.49829400622603665,0.5939023749961052,0.2611283226341618,220,61088caafe0a89c7ba763a544730988b6b0d5fcc398583fdd2d137f615cab5a6,1eb5baa6f506ddba82c213f6fcaf9835399de3cb036e5acf0d70c86f90981d27,173,0.017341040462427744,0.011560693641618497,0.005780346820809248,0.005780346820809248,0.13075188729990359,0.21490830164407004
5,51005,belief_active__low_order_dynamic__baseline_pid__bottom_track_visible,baseline_pid,bottom_track_visible,False,False,False,0.48,0.9521607033528785,8.34516672155787,True,93.99999999999893,0,0,0,0,2.339734551989325,0.570185250006034,0.499723955470038,220,61088caafe0a89c7ba763a544730988b6b0d5fcc398583fdd2d137f615cab5a6,1eb5baa6f506ddba82c213f6fcaf9835399de3cb036e5acf0d70c86f90981d27,173,0.9479768786127167,0.7109826589595376,0.6242774566473989,0.6589595375722543,0.7249013028485953,0.751054432845204
5,51005,belief_active__low_order_dynamic__delay_aware__bottom_track_visible,delay_aware,bottom_track_visible,True,True,True,1.0,0.8744844157513408,0.8280073559276137,True,93.99999999999893,0,0,0,0,0.599300740359789,0.5819741669984069,0.25000632504580417,220,61088caafe0a89c7ba763a544730988b6b0d5fcc398583fdd2d137f615cab5a6,1eb5baa6f506ddba82c213f6fcaf9835399de3cb036e5acf0d70c86f90981d27,173,0.028901734104046242,0.028901734104046242,0.005780346820809248,0.011560693641618497,0.1512424181176752,0.23018789059094802
6,51006,belief_active__low_order_dynamic__baseline_pid__no_current,baseline_pid,no_current,True,False,False,0.3,0.06281256762318346,7.3466068497694055,True,123.99999999999723,0,0,0,0,2.1469702690723986,0.5779663330031326,0.48769947638071315,220,0da0f1a638dc2f7fedc916e9db891053fd4cd70875dba9ba5b28de3ee6af8258,fec960032f5dd8529b9649696743268b980cf328e619e0a63912595a93e05fe6,158,0.9430379746835443,0.7468354430379747,0.6012658227848101,0.6455696202531646,0.7393575730286681,0.75179143633578
6,51006,belief_active__low_order_dynamic__delay_aware__no_current,delay_aware,no_current,True,True,True,1.0,0.7668583950343683,0.9397227507714148,True,123.99999999999723,0,0,0,0,0.5451287642746454,0.6184741249890067,0.24854788088841498,220,0da0f1a638dc2f7fedc916e9db891053fd4cd70875dba9ba5b28de3ee6af8258,fec960032f5dd8529b9649696743268b980cf328e619e0a63912595a93e05fe6,158,0.012658227848101266,0.0,0.006329113924050633,0.012658227848101266,0.13881625352757798,0.23531065035422155
6,51006,belief_active__low_order_dynamic__baseline_pid__bottom_track_visible,baseline_pid,bottom_track_visible,False,False,False,0.04,0.12008401656154219,10.118450740405786,True,123.99999999999723,0,0,0,0,2.319207806891315,0.6041394999920158,0.5054329114153264,220,0da0f1a638dc2f7fedc916e9db891053fd4cd70875dba9ba5b28de3ee6af8258,fec960032f5dd8529b9649696743268b980cf328e619e0a63912595a93e05fe6,158,0.9683544303797469,0.6772151898734177,0.6518987341772152,0.6962025316455697,0.7539224247830824,0.8144043654430805
