episode_index,episode_seed,arm,source_mask_l1,source_mask_l2,measurement_row_count,active_scalar_measurement_count,action_count,terminal_joint_success,tail80_joint_success,dwell15_joint_success,tail50_joint_occupancy,terminal_localization_error_m,terminal_formation_error_m,ever_locked,first_track_action_time_s,first_track_analysis_time_s,unsafe_transition_count,unsafe_track_start_count,unsafe_track_end_count,audit_release_violation_count,false_confidence_action_count,maximum_localization_error_m,maximum_track_localization_error_m,mean_squared_action,maximum_combined_decision_runtime_s,planner_kind,planner_decision_count,maximum_saved_hypothesis_count,policy_seed,policy_index_stream_sha256,noise_tape_sha256,noise_cursor_json,mission_support_json
16,48816,random_feasible,True,True,440,880,220,True,True,True,1.0,0.39629589952333255,0.3824149342891741,True,64.00000000000064,64.00000000000064,0,0,0,0,0,2.4104279572008185,1.299200413108489,0.307667690515837,1.0619757920067059,uniform_random_feasible,17,0,4228334018892019681,15b89af6713328bd7a0f5404c8b7c74c4efd3e1eb548d4889a95e1d882cbef90,66fdf2c85a83133107065a96b3f9d5ca20f2c38fc52119736020e8eb01db5d49,"{""measurement_index"":440,""substep_index"":4400}","{""center_m"":[0.0,0.0,-53.32334541498558],""radius_max_m"":350.0,""radius_min_m"":120.0,""source"":""shared_reset_time_leader_centroid_and_frozen_mission_radii""}"
17,48817,full_active,True,True,440,880,220,True,True,True,1.0,0.29387452884150733,0.6256758575278643,True,93.99999999999893,93.99999999999893,0,0,0,0,0,20.111650038795304,0.44217326216200226,0.2885579790367751,0.955788291990757,belief_conditioned,32,8,,,a349207594a52fd02658a02c40f80b89a5650e3d1b7b1042cf15ba6010ac7fc4,"{""measurement_index"":440,""substep_index"":4400}","{""center_m"":[0.0,0.0,-54.81070742037926],""radius_max_m"":350.0,""radius_min_m"":120.0,""source"":""shared_reset_time_leader_centroid_and_frozen_mission_radii""}"
17,48817,no_pair_term,True,True,440,880,220,True,True,True,1.0,0.5461510909393287,0.94196998618706,True,93.99999999999893,93.99999999999893,0,0,0,0,0,20.111650038795304,0.5931696284430314,0.276951576230093,1.1706647079990944,belief_conditioned,32,8,,,a349207594a52fd02658a02c40f80b89a5650e3d1b7b1042cf15ba6010ac7fc4,"{""measurement_index"":440,""substep_index"":4400}","{""center_m"":[0.0,0.0,-54.81070742037926],""radius_max_m"":350.0,""radius_min_m"":120.0,""source"":""shared_reset_time_leader_centroid_and_frozen_mission_radii""}"
17,48817,best_hypothesis_only,True,True,440,880,220,True,True,True,1.0,0.4765469698211766,0.83549830663308,True,93.99999999999893,93.99999999999893,0,0,0,0,0,19.794085019661594,0.5636406925499817,0.28823409074439227,1.131224665994523,belief_conditioned,32,1,,,a349207594a52fd02658a02c40f80b89a5650e3d1b7b1042cf15ba6010ac7fc4,"{""measurement_index"":440,""substep_index"":4400}","{""center_m"":[0.0,0.0,-54.81070742037926],""radius_max_m"":350.0,""radius_min_m"":120.0,""source"":""shared_reset_time_leader_centroid_and_frozen_mission_radii""}"
17,48817,random_feasible,True,True,440,880,220,True,True,True,1.0,0.07614804205188429,0.4664577862337815,True,183.99999999999383,183.99999999999383,0,0,0,0,0,14.475320996785456,0.28401669910381777,0.7646300260462232,1.1334381250053411,uniform_random_feasible,77,0,12408669231993377211,fbfe346ea1160df4b04dadbcf7f8bc04759ad92051b90567c0c0c736655bd55c,a349207594a52fd02658a02c40f80b89a5650e3d1b7b1042cf15ba6010ac7fc4,"{""measurement_index"":440,""substep_index"":4400}","{""center_m"":[0.0,0.0,-54.81070742037926],""radius_max_m"":350.0,""radius_min_m"":120.0,""source"":""shared_reset_time_leader_centroid_and_frozen_mission_radii""}"
18,48818,full_active,True,True,440,880,220,True,True,True,1.0,0.34321268699889845,0.45787836643710195,True,123.99999999999723,123.99999999999723,0,0,0,0,0,7.653451300304114,0.37857370098971144,0.2658395019625425,1.16525524998724,belief_conditioned,47,8,,,96887a5bca09ccaec6fc3cc0a35f304f486397c426c4dc7cbd7914cf497139a7,"{""measurement_index"":440,""substep_index"":4400}","{""center_m"":[0.0,0.0,-54.38377739356311],""radius_max_m"":350.0,""radius_min_m"":120.0,""source"":""shared_reset_time_leader_centroid_and_frozen_mission_radii""}"
18,48818,no_pair_term,True,True,440,880,220,True,True,True,1.0,0.4952569762968886,0.4874554486171292,True,93.99999999999893,93.99999999999893,0,0,0,0,0,7.653451300304114,0.5398834816753456,0.20991795989132833,1.3003245419968152,belief_conditioned,32,8,,,96887a5bca09ccaec6fc3cc0a35f304f486397c426c4dc7cbd7914cf497139a7,"{""measurement_index"":440,""substep_index"":4400}","{""center_m"":[0.0,0.0,-54.38377739356311],""radius_max_m"":350.0,""radius_min_m"":120.0,""source"":""shared_reset_time_leader_centroid_and_frozen_mission_radii""}"
18,48818,best_hypothesis_only,True,True,440,880,220,True,True,True,1.0,0.3394954720263132,0.3879988134692138,True,93.99999999999893,93.99999999999893,0,0,0,0,0,7.653451300304114,0.37335351224764873,0.2513901835556878,1.0811844170093536,belief_conditioned,32,1,,,96887a5bca09ccaec6fc3cc0a35f304f486397c426c4dc7cbd7914cf497139a7,"{""measurement_index"":440,""substep_index"":4400}","{""center_m"":[0.0,0.0,-54.38377739356311],""radius_max_m"":350.0,""radius_min_m"":120.0,""source"":""shared_reset_time_leader_centroid_and_frozen_mission_radii""}"
18,48818,random_feasible,True,True,440,880,220,True,True,True,1.0,0.5566461856310314,0.48812598730139806,True,123.99999999999723,123.99999999999723,0,0,0,0,0,7.653451300304114,1.0420862919774487,0.4596684512439557,1.4457673750002868,uniform_random_feasible,47,0,3404694687647472600,00da93ac69878953dee2166ba52db1e3001f1ba7b51bc8cb69bf754e37aac209,96887a5bca09ccaec6fc3cc0a35f304f486397c426c4dc7cbd7914cf497139a7,"{""measurement_index"":440,""substep_index"":4400}","{""center_m"":[0.0,0.0,-54.38377739356311],""radius_max_m"":350.0,""radius_min_m"":120.0,""source"":""shared_reset_time_leader_centroid_and_frozen_mission_radii""}"
19,48819,full_active,True,True,440,880,220,True,True,True,1.0,0.3567713592454344,0.4345626850327809,True,123.99999999999723,123.99999999999723,0,0,0,0,0,6.726887313306411,0.3746835396961543,0.2903753493824655,1.1411234590050299,belief_conditioned,47,8,,,aa55a277d70d775503593c4efb819d119625f5e856d9ecc479b9708e4f1ce0f7,"{""measurement_index"":440,""substep_index"":4400}","{""center_m"":[0.0,0.0,-52.66592426812601],""radius_max_m"":350.0,""radius_min_m"":120.0,""source"":""shared_reset_time_leader_centroid_and_frozen_mission_radii""}"
19,48819,no_pair_term,True,True,440,880,220,True,True,True,1.0,0.2515122285685561,0.2907414366452893,True,123.99999999999723,123.99999999999723,0,0,0,0,0,6.726887313306411,0.2515122285685561,0.26408641862628657,1.5775514169945382,belief_conditioned,47,8,,,aa55a277d70d775503593c4efb819d119625f5e856d9ecc479b9708e4f1ce0f7,"{""measurement_index"":440,""substep_index"":4400}","{""center_m"":[0.0,0.0,-52.66592426812601],""radius_max_m"":350.0,""radius_min_m"":120.0,""source"":""shared_reset_time_leader_centroid_and_frozen_mission_radii""}"
19,48819,best_hypothesis_only,True,True,440,880,220,True,True,True,1.0,0.32765305763835234,0.3960576975915748,True,123.99999999999723,123.99999999999723,0,0,0,0,0,6.726887313306411,0.32765305763835234,0.25698391529414133,1.2544037089974154,belief_conditioned,47,1,,,aa55a277d70d775503593c4efb819d119625f5e856d9ecc479b9708e4f1ce0f7,"{""measurement_index"":440,""substep_index"":4400}","{""center_m"":[0.0,0.0,-52.66592426812601],""radius_max_m"":350.0,""radius_min_m"":120.0,""source"":""shared_reset_time_leader_centroid_and_frozen_mission_radii""}"
