source_campaign,method_id,method_label,episode_index,episode_seed,checkpoint_s,endpoint_position_error_m,initial_position_error_m,success_le_7m,success_lt_7m,nominal_radius95_m,nominal_radius95_covers,residual_rmse_mps,reported_runtime_s,reported_runtime_definition,checkpoint_update_runtime_s,online_inputs_sha256,truth_labels_sha256,unscored_sha256,contract_sha256,source_result_sha256
experiments_v27_publication_baselines_dev100,global_window60,"Truncated-history least squares, last 60 s",69,45069,60,1.2748399507666155,1.333786312050784,true,true,4.149412182895401,true,0.027318786086399777,0.054650999954901636,single causal-prefix estimator evaluation,,1b8ccaafcc0a1d0a1a4ea8c4f4af05f0ea0cef41ebcddca616b2c4166d7eedff,fc8a68a4369b642a0bab002a1a4149a7a78973cbce8a7fc5e9297d17d326b43e,70a70bb9cb5cef20fa8f1ea887678bb37ef1e39631ee102b661b737c718d3823,06a4b969dd591004a91d81b5bab3e8b49a282283a3912ff10bad7998f63784cd,fe7fe90025deb69e30dfcd6e32f122d94153b6bdc7eb9e3123046ed8e660eefa
experiments_v27_publication_baselines_dev100,global_window60,"Truncated-history least squares, last 60 s",70,45070,60,1.5771103012753427,1.417090462487512,true,true,13.396177109310356,true,0.03466371920580656,0.04858579102437943,single causal-prefix estimator evaluation,,14449124e799344345cc5a8ea8da643ec4f690bca1dec2a38fa2edbb5dc8b3d2,c4747a54220a985cc7357828c629ab4f6bcacb1131b207cca0bbfbc9fb29e7da,6b1d267a12039dc675d987717a3d37bc60d1baa1ba61b801bf5b2f5642b1628e,06a4b969dd591004a91d81b5bab3e8b49a282283a3912ff10bad7998f63784cd,06329fc4c9de04d8918c00b0bdaa1b750c6423bf0ca7304c9695029ccd80622b
experiments_v27_publication_baselines_dev100,global_window60,"Truncated-history least squares, last 60 s",71,45071,60,0.7882403881035646,0.7488387862217957,true,true,13.574544093852419,true,0.026902027362964195,0.043581124977208674,single causal-prefix estimator evaluation,,5e2c57b9855faa1b22bc2099bd987f2eee3aba948ee558a85e1081c28ecba616,34949b9e0a6eb6e31f3272e30f95604a2a236d494a3a0495a724c2d53f25695f,010d95be3e900ccf0c6028f0e117dce2e0f935748254380824f4d50ecadf820c,06a4b969dd591004a91d81b5bab3e8b49a282283a3912ff10bad7998f63784cd,b7dbd35fbc4dfa36065813b440dca76a05a837ccd5bffa3ff8acea1d1b5424a9
experiments_v27_publication_baselines_dev100,global_window60,"Truncated-history least squares, last 60 s",72,45072,60,0.35793331428090036,0.39392446725419933,true,true,2.806135961035128,true,0.027549514951254395,0.05178566591348499,single causal-prefix estimator evaluation,,6a13bb171e47f64d91266dcdc2d37976038f7d5962975bd2e0045511c9c908da,5fa7fc113758585330cfa19660b323053c81022b43be655fc94d5c6fb6e3bd21,9e7fa9369111c814e8c0aa3955c83e7458802627ee1915e8f38bccc42c27b31c,06a4b969dd591004a91d81b5bab3e8b49a282283a3912ff10bad7998f63784cd,9251a279ff79717079df5eb78e112f05414a7ce66857e483abbb3be980119971
experiments_v27_publication_baselines_dev100,global_window60,"Truncated-history least squares, last 60 s",73,45073,60,4.4419507605383695,4.505052722101029,true,true,15.412776991893043,true,0.03162534202427583,0.08455808309372514,single causal-prefix estimator evaluation,,f9729ff03f0f8e2b6bf603d44eabe62fba9ec4556ec86563e260ac791e826d85,06ee9e4cbf8944ada653656f19f52108ed60ddb17e187d96d1396ac5d2042172,5ba128f29347eddc7686ded96d158735f6384cb9614743e6fb680464d5d5eb12,06a4b969dd591004a91d81b5bab3e8b49a282283a3912ff10bad7998f63784cd,5d874db6f86343c6ecf115d45d339615e53e6dd36924a9924c36700bbe8ce68b
experiments_v27_publication_baselines_dev100,global_window60,"Truncated-history least squares, last 60 s",74,45074,60,0.9676573938063818,0.8249522265376384,true,true,3.53994982753997,true,0.03037740886428022,0.05529979197308421,single causal-prefix estimator evaluation,,186863ddf73662b39337e22370ebbf5a05f3d20a61641b956ce48a46b030a2b7,2349e256327e3942de7b5d8d40254048a69677b13dfd7ab7e7209e010a19e25d,a3719ebbb677b9e87a346be5b07fbcf6350c3c7d38a49578e394f4f478e94614,06a4b969dd591004a91d81b5bab3e8b49a282283a3912ff10bad7998f63784cd,6b75bbf2f64dec91efb66401416b196cca0da49cc091b41a1818cdb77c754e0a
experiments_v27_publication_baselines_dev100,global_window60,"Truncated-history least squares, last 60 s",75,45075,60,2.2660640445207845,2.1830234217135724,true,true,19.656417521372674,true,0.03583780908513997,0.05595325003378093,single causal-prefix estimator evaluation,,031900c2ee6efa0c5c6a9a59e4df0d49fc6535994dd47a283ac425181368a1f4,1def2c5f290b9e117563e9d1667bd743e927390f46f6e39d9dbabe9379a8008c,d23417d3b21987179ba926e2f62f9760d7f20018fef0129a779c7f7de20d4720,06a4b969dd591004a91d81b5bab3e8b49a282283a3912ff10bad7998f63784cd,92870d81c38ed764319b17ba88b9a1968424acfe487c4293426f76a0a433321e
experiments_v27_publication_baselines_dev100,global_window60,"Truncated-history least squares, last 60 s",76,45076,60,1.4676220277191996,1.4331994105042913,true,true,7.985541356728699,true,0.03073283644343754,0.051223292015492916,single causal-prefix estimator evaluation,,15cc08586520054e62ded8df406305e0c6c2db6634fad01b2fd9b4467b35f663,4dafa7f423b3efd055ec627f9834ae23c0a40cba2c6f0d541b0358b8eaec3654,12f2cb137d4d68984c72da5506ababcfa249e89df7ef4e45599f6adcbfe1c1dd,06a4b969dd591004a91d81b5bab3e8b49a282283a3912ff10bad7998f63784cd,df384ad9fc7191ed847d888988ea8a9c9d5436c89c6e1e70fc256f971e75210f
experiments_v27_publication_baselines_dev100,global_window60,"Truncated-history least squares, last 60 s",77,45077,60,14.896491617654378,14.830088417093904,false,false,43.55935399303269,true,0.030424932115171652,0.0483327500987798,single causal-prefix estimator evaluation,,57c74506295e9075fecf10562a6023e5fdc27bca2bcfb30e35d89565a37b3e81,9e406747510ef9017ef686c83e35ce61e608c0abaace6e02fb02058fe6f7ccd0,78aa19253ad93b8dd26b2b5d9800a4a8bf1f2c1bc54a44f30907579a0c47014f,06a4b969dd591004a91d81b5bab3e8b49a282283a3912ff10bad7998f63784cd,426e82a918a98de8972ba44e2effb5e71557faa20a3bab761eebac57ffb08696
experiments_v27_publication_baselines_dev100,global_window60,"Truncated-history least squares, last 60 s",78,45078,60,0.4748055103831219,0.5214477141632922,true,true,6.1101385432697475,true,0.026734929419186766,0.06531020801048726,single causal-prefix estimator evaluation,,3c3cc4a75e6807452b0f0d83f64bf654176855d640eb95c9980c0f82b756896c,c7837bea71ae1b41cf75f16ec1e772a30601040a8f200b4671a9c684dabfd774,58b30de485191587929399b29e9d6928b7ff4422e3fea90b7e0356dca9f29b49,06a4b969dd591004a91d81b5bab3e8b49a282283a3912ff10bad7998f63784cd,b846e5b6a0051ff2b58a9f4c3f201328f419c13acd5d2f5ece0eb6742b4896ec
experiments_v27_publication_baselines_dev100,global_window60,"Truncated-history least squares, last 60 s",79,45079,60,1.2589080356877156,1.1454812006506456,true,true,3.1980162990378873,true,0.035904164761681186,0.047717457986436784,single causal-prefix estimator evaluation,,02bda923c66277e2234239ebc9e9632c6f40be0fb21a9850f4aa7efc7ed0c036,86bc233725eff5511ef3e2e917a43fd3671386aeff6bdf81480b69e74fcf71e0,0b61d55c177798a622a352c20e3bf3c9275352c7b7446b5c21a9be80ee836eca,06a4b969dd591004a91d81b5bab3e8b49a282283a3912ff10bad7998f63784cd,f1b25a78e2e4acc1b7405f9bf994059a1760b9b485775e78f31ae68e6315c28e
