episode_index,episode_seed,source_name,policy_name,arm,source_mask_l1,source_mask_l2,active_source_count,measurement_row_count,active_scalar_measurement_count,terminal_joint_success,tail80_joint_success,dwell15_joint_success,tail50_joint_occupancy,terminal_localization_error_m,terminal_formation_error_m,checkpoint_60s_localization_error_m,checkpoint_60s_localization_below_7m,checkpoint_60s_phase_track,checkpoint_60s_gate_locked_after_update,ever_locked,first_track_action_time_s,unsafe_transition_count,unsafe_track_start_count,unsafe_track_end_count,audit_release_violation_count,false_confidence_action_count,maximum_localization_error_m,maximum_track_localization_error_m,mean_squared_action,maximum_combined_decision_runtime_s,planner_decision_count,noise_tape_sha256,masked_history_sha256
1,48601,both_leaders,belief_active,both_leaders__belief_active,True,True,2,440,880,True,True,True,1.0,1.402644376732285,1.3039854175740537,1.5430245873432882,True,False,False,True,93.99999999999893,0,0,0,0,0,9.81476810830517,1.5131825425707908,0.24457210387426923,0.8516896249493584,32,abdf8db3ea64b083bf7e02c854a61a9d8a029c6a7b90e511d17e3281b4906011,2913b2aa3a70ebe28a9e60059db8c4ccf938def362675b4dceb0baa222e3df7e
2,48602,leader1_only,fixed_s_turn,leader1_only__fixed_s_turn,True,False,1,440,440,False,False,False,0.0,3.2191874245856456,250.2057277459412,16.865614106603797,False,False,False,False,,0,0,0,0,0,20.255843411606072,,0.18291038990187286,0.5824962080223486,0,deacbb57d5248bf1c1fef8e8efff13fd2f039bd9a0677e7b3b1cfb28fa012992,77d1eaa099ad297378ee7ab473cc14a20fa7b7e764b36441a1d27cba14649645
2,48602,leader1_only,belief_active,leader1_only__belief_active,True,False,1,440,440,True,True,True,1.0,1.1704780914039368,1.0519495611805547,1.2229486136411516,True,False,False,True,123.99999999999723,0,0,0,0,0,20.121713436134446,1.8850052319486252,0.16673674300602603,0.45751199999358505,47,deacbb57d5248bf1c1fef8e8efff13fd2f039bd9a0677e7b3b1cfb28fa012992,b9cd2f09a641206785f55e0250c9f6d8c88aa416db7851ec363bbb404db6ae8b
2,48602,leader2_only,fixed_s_turn,leader2_only__fixed_s_turn,False,True,1,440,440,False,False,False,0.0,2.2869741235914276,250.2057277459412,28.577410403371264,False,False,False,False,,0,0,0,0,0,60.15215681058511,,0.18291038990187286,0.49666933401022106,0,deacbb57d5248bf1c1fef8e8efff13fd2f039bd9a0677e7b3b1cfb28fa012992,5a4f08e5bbe9d33aff6621429121abe4b638ba86ad784813c1a0a9944388bbf8
2,48602,leader2_only,belief_active,leader2_only__belief_active,False,True,1,440,440,True,True,True,0.92,1.5165774209655163,1.8815330009745481,9.728044439292834,False,False,False,True,123.99999999999723,0,0,0,0,0,42.18489859338594,2.2147923300389323,0.20022185904583742,0.36501625005621463,47,deacbb57d5248bf1c1fef8e8efff13fd2f039bd9a0677e7b3b1cfb28fa012992,4c49f0052a01281fd7e096d00b3635a47874abd93dd2b64624e9c679f4208ecc
2,48602,both_leaders,fixed_s_turn,both_leaders__fixed_s_turn,True,True,2,440,880,False,False,False,0.0,0.5218727203593326,15.610106217393648,1.9081174611949663,True,False,False,True,304.0000000000006,0,0,0,0,0,4.177454354262076,3.3830457263119946,0.17762941673792587,0.7035447499947622,0,deacbb57d5248bf1c1fef8e8efff13fd2f039bd9a0677e7b3b1cfb28fa012992,3ccd64ccaf233d315050fe166e9429f08ff28b99154d3b915d44cd03bddf9496
2,48602,both_leaders,belief_active,both_leaders__belief_active,True,True,2,440,880,True,True,True,1.0,1.3008270889299423,1.6458395190530584,1.4634944668200087,True,False,False,True,93.99999999999893,0,0,0,0,0,4.177454354262076,1.8777861953677226,0.14023949769472707,0.825378124951385,32,deacbb57d5248bf1c1fef8e8efff13fd2f039bd9a0677e7b3b1cfb28fa012992,625a3f901de52846a1fb8498cf76580ffc697de608bbe03b846256710d6c15ba
3,48603,leader1_only,fixed_s_turn,leader1_only__fixed_s_turn,True,False,1,440,440,False,False,False,0.0,2.231513371316457,229.62370110978375,11.922716423284635,False,False,False,False,,0,0,0,0,0,62.86331650260244,,0.19000396151991028,0.7030476670479402,0,128c5163d0eb3421f5fb8bb2cc9d6c01c976c6df67536759b9dec8d6463e4f0e,82bcb95f3d7694248b558a85742ea5308f3cdd9ef634dfcf3d5546b03e8993a9
3,48603,leader1_only,belief_active,leader1_only__belief_active,True,False,1,440,440,False,False,False,0.0,1.2523483796625996,34.192487857811074,6.219164855003439,True,False,False,True,183.99999999999383,0,0,0,0,0,61.02246114407356,1.4083217881862966,0.3072684143243947,0.39277904108166695,77,128c5163d0eb3421f5fb8bb2cc9d6c01c976c6df67536759b9dec8d6463e4f0e,8f06a6e037dedb404c371382241f11f8c69bf8b85da162f2cdd7ac8e2362faf0
3,48603,leader2_only,fixed_s_turn,leader2_only__fixed_s_turn,False,True,1,440,440,False,False,False,0.0,3.797617407236859,229.62370110978375,8.782167854447275,False,False,False,False,,0,0,0,0,0,26.47075222276302,,0.19000396151991028,0.6443398330593482,0,128c5163d0eb3421f5fb8bb2cc9d6c01c976c6df67536759b9dec8d6463e4f0e,6491d9147a430e2783f503ba0a32ef9fa8278a846349bc9b9499098877c541eb
