episode_index,episode_seed,arm,policy,dynamics,current,terminal_joint_success,tail80_joint_success,dwell15_joint_success,tail50_joint_occupancy,terminal_localization_error_m,terminal_formation_error_m,mean_squared_action,maximum_combined_decision_runtime_s,ever_locked,first_transition_time_s,first_track_time_s,unsafe_transition_count,unsafe_track_start_count,unsafe_track_end_count,audit_release_violation_count,requested_delivered_action_rms,current_speed_rms_mps,minimum_ground_speed_mps,ground_speed_below_0p05_action_count,action_count,noise_tape_sha256,current_tape_sha256,tail50_mean_localization_error_m,tail50_mean_formation_error_m
10,49910,belief_active__kinematic__bottom_track_visible,belief_active,kinematic,bottom_track_visible,True,True,True,1.0,0.13265714809734436,0.16967182155206958,0.25845204895796625,1.4530369999993127,True,93.99999999999893,93.99999999999893,0,0,0,0,0.0,0.2725657119381854,0.5541464638555903,0,220,586f9305ddf7e84d298c70c9ec09e247b6c500ba0b7273e1dea6cdd63189a5e2,502a7437d91020245d2f3236dd953ea02ddfccad8cb0871e2d0f6b510b3abca3,0.13412440437099388,0.22013081564758238
11,49911,belief_active__kinematic__bottom_track_visible,belief_active,kinematic,bottom_track_visible,True,True,True,1.0,0.45587108912160196,0.4802393139911509,0.22461516601208184,1.2082640000007814,True,123.99999999999723,123.99999999999723,0,0,0,0,0.0,0.3029587789965314,1.8971436388470329,0,220,c6a6c89e9039892900cd038b581c135a1f5df8c9ccc78c1e8ffbc02003d48709,a8c5e1880f48fe087134dffdbd7f24252da8f0bd599fa88db09ac7f0934d1ee2,0.44480977553267836,0.4983803857665482
12,49912,belief_active__kinematic__bottom_track_visible,belief_active,kinematic,bottom_track_visible,True,True,True,1.0,1.6147681891299412,1.6464399914650514,0.3851616192717943,1.15022020899778,True,93.99999999999893,93.99999999999893,0,0,0,0,0.0,0.3326334815231205,1.8202356439031364,0,220,9bfa02258ed34dbbed13c2169dbf92f341e5ef0bdb781147e2c7516715fe06be,c356fc1a25d090fc14074348f4a7991b75617238938ec5900cf92c1f3c7b5844,1.552721982250735,1.5529130415002288
13,49913,belief_active__kinematic__bottom_track_visible,belief_active,kinematic,bottom_track_visible,True,True,True,1.0,0.7170993078446922,0.8859523367517553,0.285918824227975,1.072039999999106,True,64.00000000000064,64.00000000000064,0,0,0,0,0.0,0.30469396091348216,0.625706558500327,0,220,98ace53747e6cee5da383c96db4a9deebc16566181619554706fc36f1ee0628c,75ef1f15762e81fa6b01113347b555c0504e3ffa779bc5ea98e226a397c21dc8,0.7427758061685311,0.7379481144962515
14,49914,belief_active__kinematic__bottom_track_visible,belief_active,kinematic,bottom_track_visible,True,True,True,1.0,1.0419097247601186,1.1377201183730279,0.25768825573270726,1.2119497499952558,True,93.99999999999893,93.99999999999893,0,0,0,0,0.0,0.3698547370675317,1.606175462761785,0,220,38dfda33db48a868d715a5ce46c0b4ff128ef80673de0c0594dfe169b5809fe0,b4f87516d94e8d49417e92d095bfa4588b97c6c2f9109430536cce75690cecdf,1.0234807768863898,1.0485055633188578
15,49915,belief_active__kinematic__bottom_track_visible,belief_active,kinematic,bottom_track_visible,True,True,True,0.98,0.33858308822254307,0.353023651819676,0.2807538937201038,1.3974808339989977,True,183.99999999999383,183.99999999999383,0,0,0,0,0.0,0.2755963758337919,1.155257752247222,0,220,2bf78a58a4ad4c136f6b4c9f515cdf1c7d907b476cf13601d121c2d34fb733fa,3dd2606dd629a32892d4efeae981530160273eb36415693980fe1598c1445e4b,0.33967363916964066,1.265023528937447
16,49916,belief_active__kinematic__bottom_track_visible,belief_active,kinematic,bottom_track_visible,True,True,True,1.0,0.2792251075911361,0.393827836655995,0.3336540707754807,1.1118964999986929,True,123.99999999999723,123.99999999999723,0,0,0,0,0.0,0.2587757064142171,1.2798757516588188,0,220,36b747e1334075c7315d653d40aa737f338ce273447338f9d0fe3bb3b731f7bb,62971a093b05b1b469aea4009576bfdbc66bfb82db50ce1278d60ad8434deaff,0.2720753298145437,0.37845710551450124
17,49917,belief_active__kinematic__bottom_track_visible,belief_active,kinematic,bottom_track_visible,True,True,True,1.0,0.4044466670747188,0.4542451801952492,0.37824167786298457,0.8876698329986539,True,93.99999999999893,93.99999999999893,0,0,0,0,0.0,0.30137509881385716,1.6948068831636076,0,220,217415a7ec19262b5490d6b98a3ae9b0a6f31c2683037d87879984257e5f56e2,b501affd3e98da268ebbb634a087c236e749c7f9270a34428e15c73b2f309b8c,0.4809788244692674,0.5519297513739351
18,49918,belief_active__kinematic__bottom_track_visible,belief_active,kinematic,bottom_track_visible,True,True,True,1.0,0.475181965196261,0.43873738780743926,0.2793410144648946,1.1482551249937387,True,93.99999999999893,93.99999999999893,0,0,0,0,0.0,0.28904196184629655,1.2101601795014403,0,220,8426f813797d028bcc8a577898e206c895014555887d16b589546035bcf3c769,c27e387da8c5a5d3029dc73325e5d6c597d693c47d749c4a1fcf2dfa1595314b,0.4525447857786766,0.3357799533730424
19,49919,belief_active__kinematic__bottom_track_visible,belief_active,kinematic,bottom_track_visible,True,True,True,1.0,0.3813048835697865,0.4061133012560535,0.2332314950050198,1.3814684999961173,True,123.99999999999723,123.99999999999723,0,0,0,0,0.0,0.2949632542591983,2.4983085942939125,0,220,289caafe1ee074229dbb1ec3e0f2522bb06cb8932dc683f2a38eda18e0af7b19,3065dc57491db36bf00e9096ac9a84d1e4dfa11339093179cc0eb002efed92e0,0.3713805270467989,0.3857544287240075
