episode_index,episode_seed,condition,arm,terminal_joint_success,tail80_joint_success,dwell15_joint_success,tail50_joint_occupancy,terminal_localization_error_m,terminal_formation_error_m,ever_locked,unsafe_transition_count,unsafe_track_start_count,unsafe_track_end_count,post300_unsafe_track_end_count,audit_release_violation_count,mean_squared_action,maximum_combined_decision_runtime_s,model_evaluated,model_activated,noise_tape_sha256,stress_tape_sha256,online_history_sha256
1,48101,nominal,v24_nominal_model,True,True,True,1.0,0.8722373478441254,0.7794313930381611,True,0,0,0,0,0,0.25937269620044595,0.5271942499093711,False,False,5d317443b04c095e5eca05ce55ab9ba1b4ded26416265c67954590b662c0ed31,825d22653679c066fa1c5456e079b481a21645b16afacb7684c55ef7d1484157,a9ba29a4c4ac242e4dc580bdaf08e0b4ad394f21f47a0ee21d172b34bde00846
1,48101,nominal,v35_bias_gate_300,True,True,True,1.0,0.8722373478441254,0.7794313930381611,True,0,0,0,0,0,0.25937269620044595,0.5122623749775812,True,False,5d317443b04c095e5eca05ce55ab9ba1b4ded26416265c67954590b662c0ed31,825d22653679c066fa1c5456e079b481a21645b16afacb7684c55ef7d1484157,a9ba29a4c4ac242e4dc580bdaf08e0b4ad394f21f47a0ee21d172b34bde00846
1,48101,doppler_common_bias_p003,v24_nominal_model,True,True,True,1.0,0.30202766910781126,0.4298549534241763,True,0,0,0,0,0,0.26339108244361686,0.5358593330020085,False,False,5d317443b04c095e5eca05ce55ab9ba1b4ded26416265c67954590b662c0ed31,7b3448f50c21c56598004cceaf9e87b91aaf15497579335d2f6416893429b9c0,dbc4a6924674beda38942db83f61a62fb3a4bd5c4d357e79a4a97385c6bc626b
1,48101,doppler_common_bias_p003,v35_bias_gate_300,True,True,True,1.0,0.8678077650608244,0.802700914484695,True,0,0,0,0,0,0.2625048115917786,1.0900179990567267,True,True,5d317443b04c095e5eca05ce55ab9ba1b4ded26416265c67954590b662c0ed31,7b3448f50c21c56598004cceaf9e87b91aaf15497579335d2f6416893429b9c0,a6cdc8ed2167530ecb64a00a1f5968ac9a13d8f544133ad74c23211891275d01
1,48101,doppler_differential_bias_003,v24_nominal_model,True,True,True,1.0,0.8758378543968668,0.9127417375116387,True,0,0,0,0,0,0.22180587633924792,0.5120106660760939,False,False,5d317443b04c095e5eca05ce55ab9ba1b4ded26416265c67954590b662c0ed31,d814958d903ab31156c215e57476a47e4f5eee6c849c70a73ba4584e25c0ecff,083daa2b2cd689ea8788d13ff1e676e0af3f708707c22012bd0dce4069b15d63
1,48101,doppler_differential_bias_003,v35_bias_gate_300,True,True,True,1.0,0.7200252858728966,0.7440684355346897,True,0,0,0,0,0,0.221272780709782,1.0846180819207802,True,True,5d317443b04c095e5eca05ce55ab9ba1b4ded26416265c67954590b662c0ed31,d814958d903ab31156c215e57476a47e4f5eee6c849c70a73ba4584e25c0ecff,ffe1f4336358f6ffc558ae89e3249050967215c12eb3717098772386fe17e98f
1,48101,doppler_scale_102,v24_nominal_model,False,False,False,0.0,4.127509974521616,2332.7892687193203,False,0,0,0,0,0,0.1594677627837042,0.5696724159643054,False,False,5d317443b04c095e5eca05ce55ab9ba1b4ded26416265c67954590b662c0ed31,d9addbb71288c53f453dbecd5bb81b92c223b3f07299b0e4b91a5220122c7871,5a8c886ecbea554f90a73d1bb2dd2b6b5cf9c2d98f5cc66bb812c271a8f9e623
1,48101,colored_noise_rho09_sd003,v24_nominal_model,True,True,True,1.0,1.103747762358957,1.063071378112941,True,0,0,0,0,0,0.23201590792278237,0.5251426660688594,False,False,5d317443b04c095e5eca05ce55ab9ba1b4ded26416265c67954590b662c0ed31,2f0e262b10eca4a7f60f046f0af438bcd0422b2ac14a1f9fd277f9e99897777b,3ce5c5c976c5b8f7860697bd1aa8f18d1f0d8e9e011be6604397934f11cea994
1,48101,colored_noise_rho09_sd003,v35_bias_gate_300,True,True,True,1.0,1.103747762358957,1.063071378112941,True,0,0,0,0,0,0.23201590792278237,0.6157941659912467,True,False,5d317443b04c095e5eca05ce55ab9ba1b4ded26416265c67954590b662c0ed31,2f0e262b10eca4a7f60f046f0af438bcd0422b2ac14a1f9fd277f9e99897777b,3ce5c5c976c5b8f7860697bd1aa8f18d1f0d8e9e011be6604397934f11cea994
1,48101,dropout_iid10,v24_nominal_model,True,True,True,1.0,0.2891733643155769,0.26943312291826815,True,0,0,0,0,0,0.22451712467107612,0.4664847089443356,False,False,5d317443b04c095e5eca05ce55ab9ba1b4ded26416265c67954590b662c0ed31,4e84c497e812d55e2407ab375c60d266c74b867dc362f220a5947a7b72dac5e7,1606b095813f49a61cf9dc8bbc331d5a0c14de8a5248db3716b2e6d795333261
