current,controller_internal,controller,episodes,terminal_success_count,terminal_success_rate,tail80_success_count,tail80_success_rate,terminal_formation_error_m_median,terminal_formation_error_m_p95,terminal_localization_error_m_median,terminal_localization_error_m_p95,first_track_time_s_median,post_track_saturation_fraction_mean,post_track_action_curvature_rms_mean,mean_squared_action_mean,unsafe_transition_start_end_count
no_current,baseline_pid,delay-unaware proportional tracker,100,38,0.38,2,0.02,9.178555155099247,115.5627791669429,0.44863190036901823,0.993153907034716,93.99999999999893,0.9568115774021152,0.7429476858238214,2.1663382245288023,0
no_current,delay_aware,delay-aware tracker,100,95,0.95,91,0.91,0.671377418402979,3.03424681815859,0.619256321959844,1.5600148933191988,93.99999999999893,0.043793188390633536,0.21549610421833015,0.4678923546231777,0
bottom_track_visible,baseline_pid,delay-unaware proportional tracker,100,26,0.26,6,0.06,10.052299344273576,59.149650482184114,0.4828819329030113,1.0175554758005871,93.99999999999893,0.949908278175394,0.7426163319416135,2.1692248333133892,0
bottom_track_visible,delay_aware,delay-aware tracker,100,95,0.95,92,0.92,0.7265298874199464,4.689196628716246,0.6385771635558737,1.2845827949323245,93.99999999999893,0.04414415623769265,0.2189854003674084,0.5062700412124801,0
